Time,Quadrant,Color,Type
44.0,2,blue,Exit
44.03333333333333,2,red,Entry
44.03333333333333,2,blue,Exit
44.06666666666667,3,red,Entry
44.06666666666667,2,blue,Exit
44.1,4,red,Exit
44.1,2,blue,Exit
44.13333333333333,4,red,Exit
44.13333333333333,2,blue,Exit
44.166666666666664,4,red,Exit
44.166666666666664,2,blue,Exit
44.2,4,red,Exit
44.2,2,blue,Exit
44.233333333333334,4,red,Exit
44.266666666666666,4,red,Exit
44.3,4,red,Exit
44.333333333333336,2,blue,Entry
44.36666666666667,3,red,Exit
44.4,3,red,Exit
44.43333333333333,3,red,Exit
44.46666666666667,3,red,Entry
44.53333333333333,2,red,Exit
44.56666666666667,1,red,Entry
44.63333333333333,2,blue,Exit
44.666666666666664,2,red,Exit
44.766666666666666,2,red,Entry
44.833333333333336,3,red,Exit
44.86666666666667,1,red,Exit
44.86666666666667,2,blue,Entry
44.9,3,red,Exit
44.93333333333333,3,red,Entry
44.96666666666667,3,red,Exit
45.13333333333333,3,red,Entry
45.13333333333333,4,blue,Exit
45.2,2,red,Exit
45.2,4,blue,Exit
45.3,1,red,Entry
45.333333333333336,2,red,Exit
45.36666666666667,2,red,Exit
45.4,2,red,Exit
45.43333333333333,4,blue,Entry
45.46666666666667,2,blue,Exit
45.5,2,blue,Exit
45.53333333333333,3,red,Exit
45.56666666666667,3,red,Entry
45.63333333333333,2,red,Entry
45.666666666666664,1,red,Exit
45.7,3,red,Exit
45.733333333333334,1,red,Entry
45.8,3,red,Exit
45.833333333333336,1,red,Exit
45.86666666666667,3,red,Exit
45.9,1,red,Exit
46.03333333333333,1,red,Exit
46.06666666666667,1,red,Entry
46.1,2,red,Exit
46.13333333333333,2,red,Exit
46.233333333333334,4,red,Entry
46.266666666666666,2,red,Exit
46.3,2,red,Exit
46.3,2,blue,Entry
46.333333333333336,2,red,Exit
46.333333333333336,4,blue,Exit
46.36666666666667,1,red,Exit
46.4,1,red,Exit
46.4,4,blue,Exit
46.43333333333333,1,red,Exit
46.46666666666667,2,red,Exit
46.5,2,red,Exit
46.93333333333333,1,red,Entry
46.93333333333333,4,blue,Entry
46.96666666666667,4,red,Exit
46.96666666666667,2,blue,Exit
47.0,4,red,Exit
47.03333333333333,4,red,Exit
47.03333333333333,2,blue,Exit
47.06666666666667,4,red,Exit
47.06666666666667,2,blue,Entry
47.1,4,red,Exit
47.1,4,blue,Exit
47.13333333333333,4,red,Exit
47.166666666666664,4,red,Exit
47.2,4,red,Exit
47.36666666666667,4,blue,Entry
47.4,2,blue,Exit
47.43333333333333,4,red,Entry
47.43333333333333,2,blue,Entry
47.5,2,red,Entry
47.53333333333333,4,blue,Exit
47.63333333333333,3,red,Entry
47.63333333333333,4,blue,Exit
47.666666666666664,1,red,Exit
47.7,1,red,Exit
47.733333333333334,1,red,Entry
47.733333333333334,4,blue,Entry
47.766666666666666,1,red,Exit
47.833333333333336,1,red,Exit
47.833333333333336,2,blue,Exit
47.86666666666667,1,red,Exit
47.9,1,red,Exit
47.93333333333333,2,blue,Exit
48.0,1,red,Entry
48.03333333333333,1,red,Exit
48.06666666666667,1,red,Entry
48.1,2,red,Exit
48.1,2,blue,Entry
48.13333333333333,2,red,Entry
48.166666666666664,3,red,Exit
48.2,3,red,Exit
48.233333333333334,3,red,Exit
48.266666666666666,3,red,Exit
48.3,1,red,Exit
48.333333333333336,1,red,Entry
